财务管理	工商管理	会计学	经济学	国际经济与贸易	财政学(公务员方向)	商务经济学	临床医学
中国人民大学	中国人民大学	中国人民大学 	北京大学	北京大学	北京大学	北京大学	上海交通大学
清华大学	清华大学	上海财经大学 	中国人民大学	中国人民大学	中国人民大学	中国人民大学	浙江大学
上海交通大学	上海交通大学	上海交通大学 	中央财经大学	中央财经大学	中央财经大学	中央财经大学	北京协和医学院
中山大学	中山大学	北京大学	对外经济贸易大学	对外经济贸易大学	对外经济贸易大学	对外经济贸易大学	复旦大学
北京大学	北京大学	中山大学 	东北财经大学	东北财经大学	东北财经大学	东北财经大学	北京大学
对外经济贸易大学	对外经济贸易大学	复旦大学 	上海财经大学	上海财经大学	上海财经大学	上海财经大学	首都医科大学
南开大学	南开大学	南京大学 	厦门大学	厦门大学	厦门大学	厦门大学	华中科技大学
复旦大学	复旦大学	厦门大学	清华大学	清华大学	清华大学	清华大学	中南大学
上海财经大学	上海财经大学	中央财经大学 	南开大学	南开大学	南开大学	南开大学	中山大学
南京大学	南京大学	南开大学 	复旦大学	复旦大学	复旦大学	复旦大学	四川大学
厦门大学	厦门大学	清华大学 	江西财经大学	江西财经大学	江西财经大学	江西财经大学	中国医科大学
西安交通大学	西安交通大学	对外经济贸易大学	山东大学	山东大学	山东大学	山东大学	哈尔滨医科大学
北京交通大学	北京交通大学	西安交通大学	中南财经政法大学	中南财经政法大学	中南财经政法大学	中南财经政法大学	南京医科大学
中央财经大学	中央财经大学	浙江大学 	西南财经大学	西南财经大学	西南财经大学	西南财经大学	山东大学
大连理工大学	大连理工大学	东北财经大学 	西安交通大学	西安交通大学	西安交通大学	西安交通大学	重庆医科大学
东北财经大学	东北财经大学	暨南大学 	北京交通大学	北京交通大学	北京交通大学	北京交通大学	第二军医大学
吉林大学	吉林大学	西南财经大学	首都经济贸易大学	首都经济贸易大学	首都经济贸易大学	首都经济贸易大学	第四军医大学
浙江大学	浙江大学	湖南大学 	天津财经大学	天津财经大学	天津财经大学	天津财经大学	郑州大学
山东大学	山东大学	同济大学 	辽宁大学	辽宁大学	辽宁大学	辽宁大学	武汉大学
武汉大学	武汉大学	北京师范大学 	吉林大学	吉林大学	吉林大学	吉林大学	西安交通大学
华中科技大学	华中科技大学	东南大学	南京大学	南京大学	南京大学	南京大学	南方医科大学
湖南大学	湖南大学	四川大学 	东南大学	东南大学	东南大学	东南大学	天津医科大学
四川大学	四川大学	中南财经政法大学 	浙江大学	浙江大学	浙江大学	浙江大学	大连医科大学
西南财经大学	西南财经大学	山东大学 	浙江工商大学	浙江工商大学	浙江工商大学	浙江工商大学	吉林大学
北京理工大学	北京理工大学	重庆大学	山东财经大学	山东财经大学	山东财经大学	山东财经大学	同济大学
首都经济贸易大学	首都经济贸易大学	中南大学 	武汉大学	武汉大学	武汉大学	武汉大学	南开大学
天津大学	天津大学	哈尔滨工业大学 	华中科技大学	华中科技大学	华中科技大学	华中科技大学	河北医科大学
天津财经大学	天津财经大学	武汉大学 	湖南大学	湖南大学	湖南大学	湖南大学	山西医科大学
华北电力大学	华北电力大学	浙江工商大学	中山大学	中山大学	中山大学	中山大学	苏州大学
山西财经大学	山西财经大学	中国海洋大学 	暨南大学	暨南大学	暨南大学	暨南大学	温州医科大学
辽宁大学	辽宁大学	河海大学 	浙江财经大学	浙江财经大学	浙江财经大学	浙江财经大学	安徽医科大学
哈尔滨工业大学	哈尔滨工业大学	华中科技大学 	北京理工大学	北京理工大学	北京理工大学	北京理工大学	南昌大学
同济大学	同济大学	北京交通大学	北京工商大学	北京工商大学	北京工商大学	北京工商大学	广州医科大学
河海大学	河海大学	福州大学 	山西财经大学	山西财经大学	山西财经大学	山西财经大学	昆明医科大学
浙江工业大学	浙江工业大学	吉林大学 	大连理工大学	大连理工大学	大连理工大学	大连理工大学	
浙江工商大学	浙江工商大学	西南交通大学 	同济大学	同济大学	同济大学	同济大学	
中国科学技术大学	中国科学技术大学	首都经济贸易大学	华东师范大学	华东师范大学	华东师范大学	华东师范大学	
合肥工业大学	合肥工业大学	江西财经大学 	上海对外经贸大学	上海对外经贸大学	上海对外经贸大学	上海对外经贸大学	
福州大学	福州大学	南京财经大学 	上海大学	上海大学	上海大学	上海大学	
江西财经大学	江西财经大学	天津财经大学 	南京财经大学	南京财经大学	南京财经大学	南京财经大学	
山东财经大学	山东财经大学	华南理工大学	安徽大学	安徽大学	安徽大学	安徽大学	
中南财经政法大学	中南财经政法大学	北京理工大学 	中国海洋大学	中国海洋大学	中国海洋大学	中国海洋大学	
中南大学	中南大学	合肥工业大学 	武汉理工大学	武汉理工大学	武汉理工大学	武汉理工大学	
暨南大学	暨南大学	西北工业大学 	广西大学	广西大学	广西大学	广西大学	
华南理工大学	华南理工大学	武汉理工大学	重庆大学	重庆大学	重庆大学	重庆大学	
重庆大学	重庆大学	深圳大学 	云南财经大学	云南财经大学	云南财经大学	云南财经大学	
西南交通大学	西南交通大学	兰州大学 	东北师范大学	东北师范大学	东北师范大学	东北师范大学	
电子科技大学	电子科技大学	南京审计大学 	哈尔滨商业大学	哈尔滨商业大学	哈尔滨商业大学	哈尔滨商业大学	
北京航空航天大学		北京航空航天大学	华东理工大学	华东理工大学	华东理工大学	华东理工大学	
北京科技大学		广东外语外贸大学 	苏州大学	苏州大学		苏州大学	
		华东师范大学 					
		上海对外经贸大学 					
		山东财经大学					
		苏州大学 					
		云南大学 					
		北京外国语大学 					
		浙江财经大学					
		北京工商大学 					
		杭州电子科技大学 					
		湖南师范大学 					
		长沙理工大学					
		安徽大学 					
		南京航空航天大学 					
		华南师范大学 					
		南京理工大学					
		山西财经大学					
		中国矿业大学 					
		北京化工大学 					
		北京科技大学 					
		北京邮电大学					
